subject,key,H,UD,DD
Wercixx69,S,0.125,0.0,0.125
Wercixx69,i,0.125,0.078,0.203
Wercixx69,e,0.109,0.203,0.312
Wercixx69,m,0.125,0.063,0.188
Wercixx69,a,0.094,0.453,0.547
Wercixx69,a,0.141,0.687,0.828
Wercixx69,",",0.156,1.219,1.375
Wercixx69,t,0.125,0.14,0.265
Wercixx69,o,0.125,0.547,0.672
Wercixx69,j,0.125,0.062,0.187
Wercixx69,.,0.157,1.703,1.86
Arbuzik700,S,0.109,0.016,0.125
Arbuzik700,i,0.125,0.062,0.187
Arbuzik700,e,0.094,0.125,0.219
Arbuzik700,m,0.078,0.094,0.172
Arbuzik700,a,0.094,0.281,0.375
Arbuzik700,a,0.141,0.844,0.985
Arbuzik700,a,0.125,1.031,1.156
Arbuzik700,",",0.141,0.843,0.984
Arbuzik700,t,0.11,0.156,0.266
Arbuzik700,o,0.109,0.313,0.422
Arbuzik700,j,0.109,0.203,0.312
Arbuzik700,j,0.171,0.563,0.734
Arbuzik700,.,0.141,0.234,0.375
Weronika2,S,0.125,0.016,0.141
Weronika2,",",0.156,0.703,0.859
Weronika2,.,0.156,7.656,7.812
Weronika2,I,0.125,0.031,0.156
Weronika2,E,0.094,0.484,0.578
Weronika2,M,0.125,0.0,0.125
Weronika2,A,0.157,0.187,0.344
Weronika2,A,0.125,0.157,0.282
Weronika2,T,0.125,0.047,0.172
Weronika2,O,0.156,0.219,0.375
Weronika2,J,0.125,0.015,0.14
WeronikaR,S,0.141,0.031,0.172
WeronikaR,i,0.156,0.016,0.172
WeronikaR,e,0.125,0.141,0.266
WeronikaR,m,0.14,0.047,0.187
WeronikaR,a,0.125,0.25,0.375
WeronikaR,a,0.14,0.141,0.281
WeronikaR,",",0.156,0.704,0.86
WeronikaR,t,0.141,0.047,0.188
WeronikaR,o,0.141,0.14,0.281
WeronikaR,j,0.11,0.0,0.11
WeronikaR,.,0.156,0.313,0.469
WeronikaRed,i,0.093,0.125,0.218
WeronikaRed,i,0.078,0.719,0.797
WeronikaRed,e,0.109,0.078,0.187
WeronikaRed,e,0.14,0.938,1.078
WeronikaRed,a,0.141,0.125,0.266
WeronikaRed,a,0.125,0.453,0.578
WeronikaRed,",",0.14,1.641,1.781
WeronikaRed,",",0.172,0.672,0.844
WeronikaRed,o,0.141,0.671,0.812
WeronikaRed,o,0.109,1.11,1.219
WeronikaRed,j,0.125,0.14,0.265
WeronikaRed,j,0.109,4.125,4.234
WeronikaRed,j,0.109,0.047,0.156
WeronikaRed,j,0.079,0.906,0.985
WeronikaRed,.,0.094,3.969,4.063
WeronikaRed,.,0.094,3.062,3.156
WeronikaRed,T,0.109,0.047,0.156
WeronikaRed,T,0.141,0.062,0.203
WeronikaRed,z,0.14,0.266,0.406
WeronikaRed,z,0.109,0.219,0.328
WeronikaRed,w,0.094,0.078,0.172
WeronikaRed,w,0.125,0.125,0.25
WeronikaRed,r,0.11,0.094,0.204
WeronikaRed,r,0.125,0.078,0.203
WeronikaRed,y,0.125,0.0,0.125
WeronikaRed,y,0.125,0.062,0.187
WeronikaRed,f,0.093,0.032,0.125
WeronikaRed,f,0.11,0.109,0.219
WeronikaRed,k,0.094,0.109,0.203
WeronikaRed,k,0.172,1.609,1.781
WeronikaRed,u,0.047,0.094,0.141
WeronikaRed,u,0.094,0.109,0.203
